age,income,loan,credit,approved
56,82659,23566,647,1
69,39258,5000,699,1
46,198705,81397,812,1
32,25000,5000,772,1
60,26483,105386,596,0
25,109782,36876,787,1
38,69679,5000,683,1
56,108968,110375,501,0
75,90215,162949,664,0
36,51707,33080,570,0
40,25000,139990,649,0
28,117843,15909,813,1
28,25000,106985,588,0
41,97356,5000,586,0
70,111759,176071,673,0
53,69923,116184,622,0
57,62834,67627,662,0
41,35650,5000,687,1
20,93509,65905,576,0
39,25000,5000,695,1
70,103629,58260,626,0
19,79779,132199,755,1
41,66087,85119,618,0
61,84692,98696,630,0
47,25000,5000,614,0
55,25000,5000,650,1
19,93743,5000,579,0
38,127661,5000,716,1
50,25000,28875,643,0
29,32900,131530,736,0
75,105092,88446,684,1
39,89355,207578,799,0
61,193524,5000,661,1
42,118026,123117,654,0
66,108416,100028,721,1
44,44448,20675,534,0
59,95992,5000,646,1
45,134816,5000,673,1
33,68424,5000,730,1
32,70311,166853,745,0
64,80654,96260,758,0
68,48420,99252,659,0
61,85758,37013,628,0
72,84758,11696,684,1
69,134199,56986,661,0
74,67424,38197,562,0
20,101989,22317,691,1
54,68617,59335,615,0
68,100590,5000,664,1
24,64997,51360,659,1
38,97938,21136,829,1
26,104129,5000,742,1
56,32333,81250,724,0
35,119095,173614,748,0
21,68340,132245,655,0
42,56208,7390,592,0
31,46599,83151,528,0
67,86928,97470,717,0
75,74815,39533,718,1
26,89832,28080,626,1
43,90608,57500,635,0
70,99343,231006,623,0
19,186051,50585,624,1
37,76587,5000,644,1
45,45617,5000,703,1
64,25000,16304,754,1
24,27187,5000,678,1
61,124413,19398,768,1
25,103796,208016,845,0
64,25000,5000,707,1
52,173568,5000,675,1
31,88070,13393,517,0
34,93412,21684,722,1
53,164769,5000,684,1
67,144578,5000,686,1
57,106245,138500,664,0
21,108168,70061,649,1
19,111911,5000,610,0
23,65361,5000,736,1
71,86471,5000,490,0
59,97972,5000,711,1
21,69928,5000,573,0
71,36383,195352,769,0
46,64354,49108,656,0
35,35482,5000,719,1
43,77574,84362,693,0
61,25000,5000,763,1
51,88641,5000,809,1
27,25000,5000,761,1
53,58861,131925,723,0
31,95164,13861,660,1
48,106645,5000,713,1
65,101894,81959,752,1
32,87789,5000,652,1
25,30229,5000,684,1
31,114224,5000,626,1
40,31143,5000,740,1
74,118783,5000,715,1
57,100108,14147,591,0
38,129356,21370,703,1
33,75994,5000,666,1
62,42249,10453,688,1
35,25000,76453,630,0
64,27736,89794,772,0
70,25000,5000,634,1
41,112680,14892,828,1
43,117696,10174,690,1
42,97147,5000,659,1
62,73678,5000,711,1
58,157438,93698,701,1
46,71074,94969,818,0
32,83836,62951,712,1
62,73085,5000,550,0
18,61467,5000,635,1
42,100238,67407,736,0
24,49660,166991,667,0
26,46976,28835,644,1
41,102258,37669,633,1
18,55095,20947,615,0
61,80339,5000,697,1
25,61346,58154,633,1
41,74537,5000,774,1
28,48068,23180,621,0
68,49376,37123,588,0
34,42210,33943,678,1
25,108733,5000,537,0
52,81875,5000,511,0
52,111742,85098,723,0
50,116015,35828,683,1
22,56603,5000,533,0
59,110263,5000,686,1
56,74435,94224,659,0
75,68653,32749,573,0
58,125094,5000,731,1
45,97150,14907,786,1
24,60903,5000,814,1
26,94551,54110,702,0
25,25000,130289,681,0
29,84892,5000,804,1
51,25000,42573,697,0
50,35624,41118,656,0
65,98385,5000,634,1
72,25000,96609,718,0
40,147100,197915,565,0
41,108379,41042,761,1
54,25000,138769,582,0
52,170939,5000,620,1
61,181964,5000,701,1
57,67780,35699,802,1
39,37940,5000,661,1
44,142452,33047,606,0
52,61248,110269,754,0
18,81441,5000,649,1
52,123691,113801,562,0
54,68859,5000,722,1
64,65357,5000,664,1
31,25000,14245,662,0
20,49778,5000,731,1
18,64569,5000,737,1
22,25457,141691,627,0
43,29082,129194,688,0
72,76344,87602,570,0
31,25000,113296,662,0
56,39833,5000,618,0
44,152783,5000,665,1
26,61181,5000,651,1
32,56171,5000,667,1
32,61002,5000,563,0
43,61633,72251,587,0
59,97994,55854,664,1
30,95194,15947,784,1
68,59369,20873,731,1
49,66446,117593,710,0
56,127510,5000,638,1
66,25000,93173,613,0
69,72696,5000,723,1
49,80409,5000,598,0
21,43932,150846,794,0
47,70394,54067,676,0
54,38532,5000,821,1
40,100486,103225,799,0
56,25000,77608,709,0
62,117493,74369,706,0
32,72067,13891,634,1
60,57078,106795,772,0
46,34812,5000,653,1
53,116226,5000,561,0
30,48925,179942,760,0
49,28310,5000,718,1
24,117058,5000,643,1
68,38827,114999,698,0
39,71220,138904,682,0
45,107752,11139,783,1
19,81318,5000,609,0
59,144234,25582,784,1
62,41601,195784,773,0
74,66579,46204,635,1
70,69672,91548,709,0
23,99849,96144,718,0
45,126544,107703,850,1
45,77944,179002,625,0
61,69493,116409,545,0
61,25000,23542,539,0
37,79495,5000,694,1
47,48987,64377,751,0
28,99737,14523,617,0
75,58612,87342,666,0
72,65374,5000,649,1
45,25000,5951,599,0
42,25000,30892,722,0
56,149439,5000,557,0
50,80187,33188,724,1
18,91173,92948,649,0
74,38508,182811,748,0
44,110020,5000,692,1
74,102805,102466,571,0
69,42902,5000,701,1
30,32619,29396,653,0
58,45698,35651,756,1
20,73868,95135,730,0
56,81684,5000,760,1
23,76535,49580,655,1
25,126949,118673,615,0
44,46401,5000,678,1
26,31533,5000,731,1
54,75003,116361,612,0
50,25000,5000,701,0
68,102829,66556,706,1
59,78918,186007,776,0
61,61478,96910,607,0
41,59257,5000,714,1
32,111399,5000,645,1
71,110125,5000,627,1
49,65145,43826,815,1
49,98670,10006,711,1
41,109534,138948,787,0
58,88421,83370,627,1
69,66781,5000,797,1
66,90246,97685,651,0
66,33436,150513,735,0
75,77844,5000,613,0
69,65674,68366,604,0
29,59405,5000,678,1
56,25000,18660,788,1
19,33896,5000,768,1
20,55564,129143,689,0
66,110801,5000,657,1
54,86432,65202,702,1
66,112586,80819,606,0
73,124716,278726,689,0
34,88172,8741,683,1
66,80611,5000,683,1
19,36080,24222,712,0
19,154466,5000,735,1
45,25000,5000,512,0
71,79749,88192,621,0
40,108311,5000,634,1
54,108869,74957,668,0
49,28796,77715,675,0
50,58203,49949,724,1
18,43041,83560,702,0
36,25000,6447,763,1
19,80213,5000,658,1
70,46295,34741,632,1
61,135219,36263,670,1
43,99606,5000,682,1
49,76656,81830,686,0
23,56092,91144,662,0
49,79604,47452,756,1
72,64765,37891,748,1
21,77781,127502,756,0
72,151065,5000,610,0
28,32409,5000,730,1
